Version;Timestamp;LinesOfCode
v4.0.89;2025-12-14T13:44:26+00:00;9434
v4.0.90;2025-12-16T09:20:01+00:00;9436
v4.0.91;2025-12-16T10:06:42+00:00;9704
v4.0.92;2025-12-18T19:55:50+00:00;9726
v4.0.93;2025-12-18T20:21:35+00:00;9727
v4.0.94;2025-12-18T20:46:09+00:00;9731
v4.0.95;2025-12-18T21:16:05+00:00;9737
v4.0.96;2025-12-18T21:25:44+00:00;9737
v4.1.0;2025-12-20T12:16:52+00:00;9824
v4.1.1;2025-12-20T14:40:02+00:00;9864
v4.1.2;2025-12-20T15:31:53+00:00;9854
v4.1.3;2025-12-20T15:52:30+00:00;9902
v4.1.4;2025-12-20T17:11:38+00:00;9921
v4.1.5;2025-12-20T17:25:16+00:00;9931
v4.1.6;2025-12-20T17:47:56+00:00;9930
v4.1.7;2025-12-21T09:15:16+00:00;9961
v4.1.8;2025-12-21T09:56:52+00:00;9983
v4.1.9;2025-12-21T14:26:58+00:00;9984
v4.2.0;2025-12-22T14:34:34+00:00;10046
v4.2.1;2025-12-22T15:01:26+00:00;10065
v4.2.2;2025-12-22T19:58:14+00:00;10074
v4.2.3;2025-12-22T21:39:37+00:00;10092
v4.2.4;2025-12-22T21:54:02+00:00;10092
v4.2.5;2025-12-22T22:14:45+00:00;10093
v4.2.6;2025-12-22T23:03:32+00:00;10097
v4.2.7;2025-12-22T23:21:18+00:00;10097
v4.2.8;2025-12-23T00:09:27+00:00;10098
v4.2.9;2025-12-24T14:32:27+00:00;10102
v4.2.10;2025-12-26T20:49:19+00:00;10102
v4.2.11;2025-12-26T22:20:47+00:00;10103
v4.2.12;2025-12-26T22:45:29+00:00;10106
v4.2.13;2025-12-28T09:29:49+00:00;10103
v4.2.14;2025-12-30T16:07:58+00:00;10106
v4.2.15;2025-12-30T16:30:26+00:00;10106
v4.2.16;2026-01-01T16:56:19+00:00;10108
v4.2.17;2026-01-01T17:39:21+00:00;10110
v4.2.18;2026-01-02T17:29:52+00:00;10116
v4.2.19;2026-01-03T15:04:01+00:00;10121
v4.2.20;2026-01-04T12:47:55+00:00;10128
v4.2.21;2026-01-04T13:26:12+00:00;10133
v4.2.22;2026-01-04T18:20:27+00:00;10146
v4.2.23;2026-01-04T19:05:06+00:00;10153
v4.2.24;2026-01-04T19:36:04+00:00;10153
v4.2.25;2026-01-04T20:09:09+00:00;10153
v4.2.26;2026-01-10T08:40:27+00:00;10155
v4.2.27;2026-01-10T19:43:45+00:00;10155
v4.2.28;2026-01-12T19:33:13+00:00;10230
v4.2.29;2026-01-12T20:58:26+00:00;10233
v4.2.30;2026-01-13T16:16:12+00:00;10245
v4.2.31;2026-01-25T17:40:33+00:00;10245
v4.2.32;2026-01-28T19:27:48+00:00;10536
v4.2.33;2026-01-30T22:10:59+00:00;10539
v4.2.34;2026-01-31T13:27:23+00:00;10539
v4.2.35;2026-01-31T14:00:16+00:00;10542